"V1-4511","Νικόδημος","BGU-1274, 17"
"V1-42030","῾Ερμίας","BGU-1946, 15"
"V1-53075","Φιλωτέρα","BGU-1463, 1, 6-8"
"V1-53076","Φίλων","BGU-1463, 1, 9"
"V1-61186","Γέλων","BGU-1956, 4"
"V1-61393","Κλάδος","BGU-1943, 4, [8-9], 14"
"V1-61807","Καλλικράτης","BGU-1946, 14"
"V1-61908","῾Ιππόνικος","BGU-1956, 5"
"V1-62658","Αἰνείας","BGU-1227, 7, 16"
"V1-62825","Ἀμύντας","BGU-1270, 9"
"V1-62826","Ἀμύντας","BGU-1266, 8"
"V1-62968","Ἀπολλόδοτος","BGU-1273, 7, 46"
"V1-62981","Ἀπολλοφάνης","BGU-1273, 6, 46"
"V1-62994","Ἀπολλώνιος","BGU-1273, 7, 10, 16 etc."
"V1-63173","Ἀριστοτέλης","BGU-1230 verso, 7"
"V1-63526","Δημητρία","BGU-1273, 6, 10, 12 etc."
"V1-63536","Δημήτριος","BGU-1946, 16"
"V1-63537","Δημήτριος","BGU-1273, 39,"
"V1-63538","Δημήτριος","BGU-1241, 1"
"V1-63570","Διοκλῆς","BGU-1959 verso, 1"
"V1-64038","῾Ηράκλειτος","BGU-1946, 8"
"V1-64095","Θεμίσων","BGU-1273, 39, [87]"
"V1-64114","Θεόδωρος","BGU-1961, [2], 6 etc."
"V1-64124","Θεοκλῆς","BGU-1946, 4, 6, [9] etc."
"V1-64126","Θεόκριτος","BGU-1274, 6"
"V1-64156","Θεύδωρος","BGU-1935, 14"
"V1-64410","῾Ιππόλυσος","BGU-1959 verso, 1 + PP 12244"
"V1-64722","Κράτης","BGU-1263, 7"
"V1-65005","Μενέδημος","BGU-1274, 5"
"V1-65006","Μενέδημος","BGU-1274, 6, 9, 11"
"V1-65087","Νεοπτόλεμος","BGU-1247, 3"
"V1-65278","Πάτρων","BGU-1273, 7, 47, 90"
"V1-65322","Φιλόξενος","BGU-1274, 18"
"V1-65344","Πολύαινος","BGU-1946, [14]"
"V1-65451","Πραξώ","BGU-1277, 3, 6 etc."
"V1-65492","Πρόξενος","BGU-1277, 3"
"V1-65932","Φίλιππος","BGU-1963, 8"
"V1-65941","Φίλιππος","BGU-1956, 3"
"V1-66114","Φιλωνάδης","BGU-1273, 38, 61, 86"
"V1-66202","Νικίας","BGU-2399, [18], 39"
"V1-66204","Γλαυκίας","BGU-2423, 28"
"V1-66207","Δημήτριος","BGU-2386, 4"
"V1-66211","Φίλιππος","BGU-2388, 8"
"V1-66217","Θεόφιλος","BGU-2388, 9"
"V1-69814","Κότυς","BGU-2423, 29"
"V1-71315","Ἀρχέλαος","BGU-1274, 19"
"V1-71962","Δημήτριος","BGU-1266, 42"
"V1-71963","Δημήτριος","BGU-1266, 42, 45"
"V1-74194","Καλλίξενος","BGU-1273, 40,"
"V1-76053","Νουμήνιος","BGU-1273, 39, 61, [88]"
"V2-3193","Αἰσχύλος","BGU-2398, 4, 21"
"V2-15036","Δημήτριος","BGU-2383, 4"
"V2-15037","Δημήτριος","BGU-2385, 2"
"V2-25964","Εὔκλεια","BGU-1974 & 2398, 40"
"V2-29911","Ζώτιχος","BGU-1969, 4, 15"
"V2-49554","Νουμήνιος","BGU-1269, 1"
"V2-54779","Πυθέας","BGU-1974 & 2398, 4, 21"
"V3a-4136","Εὔδαμος","BGU-1002, 3"
"V3a-13182","Ἀντίοχος","BGU-1939 fr. C, 3"
"V3a-15105","Διονύσιος","BGU-1972, 2"
"V3a-15106","῾Ηρακλείδης","BGU-1972, 3"
"V3a-18039","Λιμναῖος","BGU-1939 A, 8"
"V3a-18040","Ἐργόφιλος","BGU-1939 A, 9"
"V3a-23094","Ἀλκαῖος","BGU-1978, 3"
"V3a-23264","Ἀρχιτέλης","BGU-1222, 12"
"V3a-23386","Δημήτριος","BGU-1285, 7"
"V3a-23671","Θεοκλῆς","BGU-1278, 5, 6, 11, etc."
"V3a-23980","Μύστα","BGU-1285, 6, 7"
"V3a-24000","Νικάνωρ","BGU-1939 F, 3"
"V3a-42744","Νικιάδης","BGU-1939 F, 4"
"V3b-12595","Κέββας","BGU-1229, 12"
"V3b-14164","Μένανδρος","BGU-1278, 32-4"
"V3b-18003","Τιμασικράτης","BGU-1739, 6"
"V3b-30906","Μνησίμαχος","BGU-1814, 4"
"V3b-34134","Σήραμβος","BGU-1274, 19, 23"
"V3b-37177","Ἀπολλόδωρος","BGU-1275, 23-4"
"V4-1660","Ἀμάτοκος","BGU-2390, 4, 14"
"V4-1661","Ἀμάτοκος","BGU-2390, 37"
"V4-2547","Ἀριστόδημος","BGU-2390, 40-1"
"V4-2580","Ἀριστόλοχος","BGU-1265, 7"
"V4-2581","Ἀριστόλοχος","BGU-2390, 39"
"V4-3121","Ἀτίας","BGU-1266 A, 39, 45"
"V4-3495","Βαστακίλας","BGU-1223, 2"
"V4-3744","Βίθυς","BGU-1271, 12"
"V4-3757","Βίθυς","BGU-1251, 3"
"V4-4660","Διζάολος","BGU-2390, 4-5, [8], 14, etc."
"V4-5477","Διότιμος","BGU-2396, 6"
"V4-5670","Δράκων","BGU-1275, 21 "
"V4-6947","Ζωπυρίων","BGU-1958, 5, 11, 13, etc."
