"V1-15916","Ἀρτεμωνίς","POxy-2771, 4"
"V1-27171","Ἀθαναγόρας","POxy-3593 i, 5"
"V1-32690","Ἀπόνητος","POxy-3593 i, 9"
"V1-33608","Διονύσιος","POxy-3593 i, 18-20"
"V1-33609","Διονύσιος","POxy-3593 i, 22, 25"
"V1-33610","Διονύσιος","POxy-3593 i, 8"
"V1-34088","Εὐτύχης","POxy-3593 i, 27"
"V1-34459","Ἰάσων","POxy-3593 i, 19"
"V1-34625","Καλλικράτης","POxy-3593 i 20-1"
"V1-34700","Κάρπος","POxy-3594, 2, 13"
"V1-43181","Κλεάνωρ","POxy-2733, 11"
"V1-43182","Μυρσίλος","POxy-2733, 12"
"V1-44103","Ἀρίσταρχος","POxy-1241 II, 11-13"
"V1-45987","Ὠκυμένης","POxy-2891, 2"
"V1-53522","Λευκοκόμας","POxy-1800 fr. 8 II, 34-5"
"V1-60848","Ἀπολλώνιος","POxy-743, 37"
"V2-4181","Ἀμεινίας","POxy-2082 fr. 2"
"V2-4671","Ἀνάσχετος","POxy-1607, 218"
"V2-5959","Ἀντισθένης","POxy-1366"
"V2-6680","Ἀπολλόδωρος","POxy-1608, 34 ff."
"V2-10475","Ἀρχέστρατος","POxy-2537 verso, 8"
"V2-10837","῎Αρχιππος","POxy-2537 verso, 29"
"V2-14880","Δημέας","POxy-2464 I, 6 etc."
"V2-16253","Δημόστρατος","POxy-2464 I, 15 etc."
"V2-17785","Διονυσία","POxy-290, 19"
"V2-25471","Εὐθυκλῆς","POxy-2537 recto, 30"
"V2-25702","Εὐθύνους","POxy-2537 verso, 18 ff."
"V2-32387","Θεοζοτίδης","POxy-1606, 249 etc."
"V2-32541","Θεόμνηστος","POxy-1606, 240 etc."
"V2-32542","Θεόμνηστος","POxy-2537 recto, 6 f."
"V2-32545","Θεόμνηστος","POxy-1607, 219"
"V2-34842","῾Ιπποθέρσης","POxy-1606, 137 etc."
"V2-34934","῾Ιππόμαχος","POxy-2537 recto, 44 f."
"V2-35666","Ἰσχόμαχος","POxy-2537 verso, 11 "
"V2-35951","Καλλίας","POxy-4508, 8"
"V2-36339","Καλλικράτης","POxy-2537 recto, 17"
"V2-36725","Κάλλιππος","POxy-3360"
"V2-38213","Κίσσος","POxy-2537 verso, 26"
"V2-39619","Κρίτων","POxy-1607, 220"
"V2-42258","Λυκόφρων","POxy-1607, 28 etc."
"V2-47949","Νικήρατος","POxy-2537 verso, 12, 14"
"V2-48147","Νικίας","POxy-1235, 105"
"V2-48991","Νικόστρατος","POxy-1606, 17"
"V2-48992","Νικόστρατος","POxy-2537 verso, 33"
"V2-49835","Ξενοκλῆς","POxy-1606, 18"
"V2-54853","Πυθίων","POxy-2537 recto, 32"
"V2-58554","Σωσιάδης","POxy-1606, 92 f., 737, 781"
"V2-64675","Φιλοστέφανος","POxy-2537 recto, 36"
"V2-66333","Χαιρέφιλος","POxy-2686"
"V2-66631","Χαριάδης","POxy-4508, 7"
"V2-66680","Χαρίας","POxy-2082 fr. 1 f."
"V3a-38167","Διόγνητος","POxy-2399, 34"
"V3a-39117","Θεοξένα","POxy-2821"
"V3b-13249","Κρωκίνας","POxy-2381"
"V3b-23188","Δαισιστρότα","POxy-659 (name)"
"V3b-23195","Δαΐφαντος","POxy-2438, 4"
"V3b-23196","Δαΐφαντος","POxy-2438, 24"
"V3b-39118","῾Αγήσανδρος","POxy-xv 1802 fr. 3, 74?"
"V4-1922","Ἀντιφάνης","POxy-2538 ii, 16"
"V4-3821","Βοραΐδης","POxy-1903, 9"
"V4-24238","Ἀέροπος","POxy-2465 fr. 1 col. ii, 23"
"V4-24517","Ἀλέξανδρος","POxy-277, 1"
"V4-25248","Ἀντίοχος","POxy-3482, 3, 29"
"V4-25491","Ἀπολλώνιος","POxy-1628, 5"
"V4-25492","Ἀπολλώνιος","POxy-3482, 3, 30"
"V4-25494","Ἀπολλώνιος","POxy-1644, 5 "
"V4-25806","Ἀρσινόη","POxy-1644, 12, 20"
"V4-25858","Ἀρτεμίδωρος","POxy-277, 2"
"V4-25859","Ἀρτεμίδωρος","POxy-277, 2, 7, 9, 17"
"V4-26336","Βερενίκη","POxy-1644, 6"
"V4-27287","Διονύσιος","POxy-3482, 3, 7-8, 11, 14, 16 etc. "
"V4-27288","Διονύσιος","POxy-1644, 5"
"V4-27291","Διονύσιος","POxy-277, 1, 9-11"
"V4-29363","Θέων","POxy-3482, 3, 5, 10, 12, 16 etc. "
"V4-30073","Κλεονίκη","POxy-2465 fr. 1 II, 20"
"V4-30102","Κλεοπάτρα","POxy-2465 fr. 1 II, 21"
"V4-30479","Λανίκα","POxy-2465 fr. 1 II, 18"
"V4-30545","Λεπτίνης","POxy-831 "
"V4-31570","Μοσχίων","POxy-1644, 7, 10-12, 18, 22, 24 and verso "
"V4-32079","Νικονόα","POxy-2465 fr. 1 II, 23"
"V4-32753","Πασίων","POxy-1644, 4 and verso "
"V4-33233","Προθόη","POxy-2465 fr. 1 II, 22"
"V4-33426","Πτολεμαῖος","POxy-1644, 4 "
"V4-33444","Πτολεμαῖος","POxy-1644, 13"
"V4-33445","Πτολεμαῖος","POxy-1635, 3"
"V4-33700","Σαραπίων","POxy-1628, 5, 15, 22 "
"V4-33922","Σπάρτακος","POxy-1635, 3, 8, 10, 12 "
"V5a-39027","Ἀλεξαμενός","POxy-3219 fr. 1, 10 with comm."
"V5a-39153","Ἀρτεμίδωρος","POxy-2694 V schol., 26"
