"V1-62817","Ἀμμώνιος","PSI-626 II r, 14-15"
"V2-34987","῾Ιπποσθένης","PSI-388, 42"
"V3a-8606","Ἀριστοκλῆς","PSI-626 recto I, 3"
"V3a-11119","Νίκανδρος","PSI-626 recto I, 3-4"
"V3a-37371","Ἀντίλοχος","PSI-626 I, 9-11"
"V3a-38265","Διονυσόδωρος","PSI-626 I, 11"
"V3a-38501","῾Ερμογένης","PSI-626 I, 9-10"
"V3b-11699","Θεόδοτος","PSI-1311, 38-40"
"V4-7326","῾Ηρακλεόδωρος","PSI-1311, [2], 9 etc."
"V4-9102","Λέων","PSI-1311, [2], 21"
"V4-24334","Ἀκουσίλαος","PSI-1098, 39 "
"V4-24337","Ἀκουσίλαος","PSI-906, 1"
"V4-24846","Ἀμύντας","PSI-389, 9 "
"V4-24918","Ἀνδράγαθος","PSI-394, 8"
"V4-25382","Ἀπολλόδωρος","PSI-394, 7 "
"V4-25495","Ἀπολλώνιος","PSI-1098, 40"
"V4-26026","Ἀσκληπιάδης","PSI-1097, 1 "
"V4-27289","Διονύσιος","PSI-1097, 1"
"V4-27295","Διονύσιος","PSI-321, 4, 9, [14], [16], 18, 20, 28"
"V4-28536","Εὐχάρης","PSI-388, 27"
"V4-28673","Ζωΐλος","PSI-1254, 6, 20, 24"
"V4-31359","Μενέλαος","PSI-389, 9"
"V4-31982","Νικίας","PSI-1098, 40 "
"V4-32242","Ξεννίας","PSI-1284, 19"
"V4-32863","Περδίκκας","PSI-371, 1"
"V4-33429","Πτολεμαῖος","PSI-1098, 39"
"V4-33969","Στράτιππος","PSI-976, 1, [17], 20 "
"V5a-47185","Δρύας","PSI-1220, 38"
"V5a-49016","῾Ιππότις","PSI-1220, 16 ff."
