"V1-9548","Ἀγλωκλῆς","SB-2107"
"V1-9549","Πυθόστρατος","SB-2114"
"V1-9551","Θηραΐδας","SB-299 : 1001"
"V1-9552","Σώκριτος","SB-456 & p. 664"
"V1-9554","Ἀντίπατρος","SB-7224"
"V1-14254","Ἀνδρόχαρις","SB-8306"
"V1-14287","῞Ερμιππος","SB-666"
"V1-32218","Ἀγίας","SB-6831"
"V1-32219","Ἀγίας","SB-7767"
"V1-32517","Ἀνθαγόρας","SB-8974 fr. 3 II, 40, [57]"
"V1-33504","Δημήτριος","SB-8549"
"V1-34404","Θέων","SB-8549 & BE 1969, p. 545 ad no. 15"
"V1-34756","Κλειτόμαχος","SB-6831, 4"
"V1-35603","Παυσίστρατος","SB-6676"
"V1-36145","Τελέσων","SB-194"
"V1-36577","Φυλαίνιος","SB-11360"
"V1-43259","Τερφήϊος","SB-6050"
"V1-45936","Ῥοῖκος","SB-2550"
"V1-46083","Νείλων","SB-1693 : 2255"
"V1-46085","῾Ηράκλειτος","SB-7228"
"V1-46902","῾Υβλήσιος","SB-2613"
"V1-47591","Πρώταρχος","SB-2298"
"V1-47592","Παραμένων","SB-2304"
"V1-47592","Παραμένων","SB-2286"
"V1-47593","Πρώταρχος","SB-2356"
"V1-47594","Πολυαρκίδης","SB-2359"
"V1-47595","Χαριδίων","SB-2378"
"V1-47596","Σληυῆς?","SB-2384"
"V1-47596","Σληυῆς?","SB-2292"
"V1-47597","Κλεψίας","SB-2385"
"V1-47598","Καρόφνης","SB-2386"
"V1-47599","῾Ερμαγόρης","SB-2438"
"V1-47599","῾Ερμαγόρης","SB-2283"
"V1-47600","Πρώταρχος","SB-2284"
"V1-47601","Φανῆς","SB-2285"
"V1-47602","Πολέμαρχος","SB-2287"
"V1-47602","Πολέμαρχος","SB-2457"
"V1-47603","Νικοσθένης","SB-2295"
"V1-47604","Παμφαῖος","SB-2296"
"V1-47605","Θεόδωρος","SB-2447"
"V1-47606","Μυσός","SB-2451"
"V1-47606","Μυσός","SB-2502"
"V1-47607","῾Εκαταῖος","SB-2294 a"
"V1-47608","Φίλατρος","SB-2294 b"
"V1-47609","Σώστρατος","SB-2491 + AA 1983, p. 185"
"V1-47610","῎Ασος","SB-2503"
"V1-47612","Τύχων","SB-2505"
"V1-47613","Ἀρχαῖος","SB-2506"
"V1-47614","Πρωτογένης","SB-2508"
"V1-47617","῾Ερμησιφάνης","SB-2524"
"V1-47618","Φορτύλος","SB-2525"
"V1-47619","῾Ερμαγαθῖνος","SB-2526"
"V1-47620","Δερκῆς","SB-2527"
"V1-47621","῾Ερμογένης","SB-2528"
"V1-47622","Εὐκλῆς","SB-2529"
"V1-47623","Πολύκαρπος","SB-2531"
"V1-47624","Τεισαμενός","SB-2534"
"V1-47624","Τεισαμενός","SB-2576"
"V1-47625","Νειλόμανδρος","SB-2541"
"V1-47626","Χαρμῆς","SB-2545"
"V1-47626","Χαρμῆς","SB-2548-9"
"V1-47627","῾Ερμοκράτης","SB-2546"
"V1-47628","Κλεόδημος","SB-2547"
"V1-47629","Ἐπικάρτης","SB-2552"
"V1-47631","Θώτιμος","SB-2553"
"V1-47632","Λεωδάμας","SB-2554"
"V1-47633","Τηλοφάνης","SB-2555"
"V1-47634","Ναυσιτέλης","SB-2556"
"V1-47636","Μαλοΐσιος","SB-2558"
"V1-47637","Ὠχίλος","SB-2571"
"V1-47638","῾Ηραγορεύς","SB-2575"
"V1-47639","῾Ιστιαῖος","SB-2577"
"V1-47640","Φυλλίς","SB-2579"
"V1-47641","Μεγακλῆς","SB-2585"
"V1-47642","Χρυσόδωρος","SB-2587"
"V1-47643","῾Ερμόθεμις","SB-2589"
"V1-47645","Ζωΐλος","SB-2594"
"V1-47646","Ἀλεξιδήϊος","SB-2603"
"V1-47647","Νέαρχος","SB-2604"
"V1-47648","Φιλόξενος","SB-2614"
"V1-47649","Σιμίας","SB-2618"
"V1-47650","Φίλιππος","SB-2622"
"V1-47651","Πύρρος","SB-2624"
"V1-47652","῾Ερμόδωρος","SB-1696"
"V1-47653","Χλονέας","SB-1716"
"V1-47654","Γλαῦκος","SB-6054"
"V1-47657","Τηλέστρατος","SB-6058"
"V1-47658","Ἀρχιτέλης","SB-6061"
"V1-47659","Σύμφορος","SB-6062"
"V1-47660","Φοῖνιξ","SB-6063"
"V1-47661","Χαλκιδεύς","SB-6065"
"V1-47662","Νυμφαγέτης","SB-6072"
"V1-47663","Ἀρτέμων","SB-6076"
"V1-47664","Ἀρτόμων","SB-6081"
"V1-47665","Τέως","SB-6082"
"V1-47666","Γοργίας","SB-6084"
"V1-47669","Εὔθετος","SB-201"
"V1-47670","Εὔφαντος","SB-208"
"V1-47671","Κωμαῖος","SB-210"
"V1-47672","Πύθων","SB-211"
"V1-47675","Λάκρις","SB-213"
"V1-47683","῾Ερμόβιος","SB-209"
"V1-49478","῎Αμαστρις","SB-1871"
"V1-53080","Ἀνδροκλῆς","SB-10688 C"
"V1-53532","Ἐχέφυλος","SB-1550"
"V1-53533","῎Αγων","SB-1654"
"V1-53535","῾Ηρακλείδης","SB-251"
"V1-53536","Δεῖνις","SB-4950"
"V1-53537","Ἀθηναίων","SB-5859"
"V1-53652","Θαρσυφᾶς","SB-1088 A"
"V1-53835","Φρῖξος","SB-5723"
"V1-53918","῎Αριστις","SB-5860 + ZPE 14 (1974) p. 182"
"V1-54060","Σῶσος","SB-2220"
"V1-55150","Ἀπολλώνιος","SB-4206, 225"
"V1-56916","Βαλσάμων","SB-6698"
"V1-60858","Ἀτθανιάφαν","SB-599, 19, 24"
"V1-60870","Δωσίθεος","SB-6278, 24"
"V1-61162","Ἀφροδισία","SB-5939"
"V1-61228","Δράκων","SB-5922"
"V1-61271","Εὔτυχος","SB-5923"
"V1-61288","Ζιβοίτης","SB-11061, 25"
"V1-61350","Ἰωάννης","SB-5918"
"V1-61353","Ἰούλιος","SB-5921"
"V1-61494","Νάσκιος?","SB-5917"
"V1-61580","Ῥοδόπη","SB-5924"
"V1-61695","Φίλων","SB-5920"
"V1-61908","῾Ιππόνικος","SB-11061, 3, 28"
"V1-62511","Ἀγαθῖνος","SB-11659, 15"
"V1-62524","Ἀγαθοκλῆς","SB-1739"
"V1-62817","Ἀμμώνιος","SB-7450, 24"
"V1-62984","Ἀπολλωνία","SB-12716"
"V1-63615","Δόκιμος","SB-11059, 15-16"
"V1-63650","Ἐλληλος?","SB-10301 e, 3"
"V1-63741","῾Ερμίας","SB-3941"
"V1-64109","Θεοδότη","SB-11376, 6"
"V1-64135","Θεόχρηστος","SB-11060"
"V1-64265","Θηρίσκος","SB-11059, 14, 16"
"V1-64421","Ἰσοδώρα","SB-419"
"V1-64457","Καλλιάναξ","SB-11061, 24"
"V1-64470","Καλλίδρομος","SB-6281"
"V1-64522","Κάλλις","SB-11061, 23"
"V1-64608","Καρτισθένης","SB-7631, 22"
"V1-64796","Λέων","SB-11059, 13"
"V1-64798","Λέων","SB-11376, 6-7"
"V1-65357","Πολύαρχος","SB-263"
"V1-65521","Πτολεμαῖος","SB-7631, 23"
"V1-65522","Πτολεμαῖος","SB-11306 I, 37"
"V1-65539","Πτολεμαῖος","SB-6030, 11"
"V1-65540","Πτολεμαῖος","SB-6030, 12"
"V1-65616","Σπάρτη","SB-6681"
"V1-65911","Φιλησώ","SB-6680"
"V1-65933","Φίλιππος","SB-11058, 8"
"V1-65934","Φίλιππος","SB-11061, 22"
"V1-69820","Λέων","SB-11968"
"V1-76552","Παράμονος","SB-7569, 20"
"V2-7949","Ἀριστέας","SB-12373, [6], 14, 16"
"V2-8390","Ἀριστόδημος","SB-10680, 2"
"V2-8959","Ἀριστομένης","SB-10184"
"V2-10492","Ἀρχέστρατος","SB-398, 4"
"V2-11006","Ἀσκληπιάδης","SB-9814, 2"
"V2-17235","Διόδωρος","SB-10680"
"V2-18737","Διονύσιος","SB-10019. 18"
"V2-22180","Ἐπιγένης","SB-7793"
"V2-38689","Κλεόμβροτος","SB-453, 3"
"V2-50118","Ξενοφῶν","SB-I 398, 4"
"V3a-2589","Λακρίνης","SB-2130"
"V3a-7058","Θεόδωρος","SB-7204, 5"
"V3a-10871","Λυσίμαχος","SB-7169, 10"
"V3a-17237","῎Ασμενος","SB-4046"
"V3a-22543","Ῥίνων","SB-4043"
"V3a-23166","Ἀντίοχος","SB-4375"
"V3a-23671","Θεοκλῆς","SB-6303, 6"
"V3a-23992","Νέων","SB-6759, 18"
"V3a-24250","Στάχυς","SB-6303, 6 etc."
"V3a-27108","Φιλῖνος","SB-8576"
"V3a-29410","Βακχεῖος","SB-417 f"
"V3a-29412","Ἀπολλωνιάδης","SB-8078"
"V3a-29413","Δέξιος","SB-11979"
"V3a-42886","Πύρρος","SB-7306"
"V3a-43025","Ταύρων","SB-6831, 2"
"V3b-8131","Ἀρκεσίλας","SB-420"
"V3b-9961","Διονύσιος","SB-448"
"V3b-10488","῾Ερμίας","SB-407"
